"FLWS","1-800 FLOWERS.COM, Inc.","227353632","Consumer Services","Other Specialty Stores"
"FCTY","1st Century Bancshares, Inc","43857464.56","Finance","Major Banks"
"FCCY","1st Constitution Bancorp (NJ)","46700590.3","Finance","Savings Institutions"
"SRCE","1st Source Corporation","520483250.24","Finance","Major Banks"
"FUBC","1st United Bancorp, Inc. (FL)","221797457.7","Finance","Major Banks"
"VNET","21Vianet Group, Inc.","438804415.1","Technology","Computer Software: Programming, Data Processing"
"SSRX","3SBio Inc.","264713458.1","Consumer Durables","Major Pharmaceuticals"
"JOBS","51job, Inc.","499361541.12","Technology","Diversified Commercial Services"
"EGHT","8x8 Inc","421543864.15","Public Utilities","Telecommunications Equipment"
"AVHI","A V Homes, Inc.","192085562.5","Capital Goods","Homebuilding"
"SHLM","A. Schulman, Inc.","710724580.5","Basic Industries","Major Chemicals"
"AONE","A123 Systems, Inc.","38766725.335","Energy","Industrial Machinery/Components"
"AAON","AAON, Inc.","482763920.16","Capital Goods","Industrial Machinery/Components"
"ASTM","Aastrom Biosciences, Inc.","61754015.2","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ABAX","ABAXIS, Inc.","787148919.07","Capital Goods","Industrial Machinery/Components"
"ABMD","ABIOMED, Inc.","778696221.9","Health Care","Medical/Dental Instruments"
"AXAS","Abraxas Petroleum Corporation","198520372.55","Energy","Oil & Gas Production"
"ACTG","Acacia Research Corporation","1218497076.33","Miscellaneous","Multi-Sector Companies"
"ACHC","Acadia Healthcare Company, Inc.","908489116.57","Health Care","Medical Specialities"
"ACAD","ACADIA Pharmaceuticals Inc.","127272021.6","Consumer Durables","Major Pharmaceuticals"
"ACCL","Accelrys, Inc.","478235424.24","Technology","Computer Software: Prepackaged Software"
"ANCX","Access National Corporation","137393689.79","Finance","Savings Institutions"
"ARAY","Accuray Incorporated","463275584.4","Health Care","Medical/Dental Instruments"
"ACRX","AcelRx Pharmaceuticals, Inc.","70137500","Consumer Durables","Major Pharmaceuticals"
"ACET","Aceto Corporation","252389300.04","Consumer Durables","Specialty Chemicals"
"ACHN","Achillion Pharmaceuticals, Inc.","809277280.25","Consumer Durables","Major Pharmaceuticals"
"ACIW","ACI Worldwide, Inc.","1565491781.92","Technology","Computer Software: Prepackaged Software"
"APKT","Acme Packet, Inc.","1116687751.44","Technology","Computer Communications Equipment"
"ACNB","ACNB Corporation","95884113.5","Finance","Major Banks"
"ACOR","Acorda Therapeutics, Inc.","934173260.9","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ACFN","Acorn Energy, Inc.","150046914.24","Consumer Services","Military/Government/Technical"
"ACTS","Actions Semiconductor Co., Ltd.","65728804.44","Technology","Semiconductors"
"ACPW","Active Power, Inc.","69647570.63","Public Utilities","Electric Utilities: Central"
"ATVI","Activision Blizzard, Inc","12421944688.66","Technology","Computer Software: Prepackaged Software"
"BIRT","Actuate Corporation","299609072.64","Technology","Computer Software: Prepackaged Software"
"ACUR","Acura Pharmaceuticals, Inc.","70171035.66","Consumer Durables","Major Pharmaceuticals"
"ACXM","Acxiom Corporation","1281125075.525","Technology","EDP Services"
"ADES","ADA-ES, Inc.","200378339.1","Basic Industries","Major Chemicals"
"ADUS","Addus HomeCare Corporation","63287540.55","Health Care","Medical/Nursing Services"
"AEY","ADDvantage Technologies Group, Inc.","20887696","Consumer Services","Office Equipment/Supplies/Services"
"ADEP","Adept Technology, Inc.","41192150.5092","Technology","Industrial Machinery/Components"
"ADBE","Adobe Systems Incorporated","16455615602.04","Technology","Computer Software: Prepackaged Software"
"ADTN","ADTRAN, Inc.","1001585913.74","Public Utilities","Telecommunications Equipment"
"AEIS","Advanced Energy Industries, Inc.","439739307.24","Capital Goods","Industrial Machinery/Components"
"ADVS","Advent Software, Inc.","1178215578.0395","Technology","EDP Services"
"AVCA","Advocat, Inc.","31710690.55","Health Care","Hospital/Nursing Management"
"AEGR","Aegerion Pharmaceuticals, Inc.","500458363.35","Consumer Durables","Major Pharmaceuticals"
"AEGN","Aegion Corp","758261410.8","Basic Industries","Water Supply"
"AEHR","Aehr Test Systems","9236351","Capital Goods","Electrical Products"
"AEPI","AEP Industries Inc.","348300376.38","Capital Goods","Specialty Chemicals"
"AVAV","AeroVironment, Inc.","507139886.68","Capital Goods","Aerospace"
"AEZS","AEterna Zentaris Inc.","42717975.12","Consumer Durables","Major Pharmaceuticals"
"ATRM","Aetrium Incorporated","9487676.88","Capital Goods","Electrical Products"
"AFCE","AFC Enterprises, Inc.","632070030.3","Consumer Services","Restaurants"
"AFFY","Affymax, Inc.","885612318.26","Consumer Durables","Major Pharmaceuticals"
"AFFX","Affymetrix, Inc.","250324736.97","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"AGEN","Agenus Inc.","108138323.28","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AGYS","Agilysys, Inc.","176846568","Consumer Non-Durables","Electronic Components"
"AIRM","Air Methods Corporation","1351102644.64","Transportation","Transportation Services"
"AIRT","Air T, Inc.","21038304.2286","Transportation","Air Freight/Delivery Services"
"ATSG","Air Transport Services Group, Inc","253088208.84","Transportation","Air Freight/Delivery Services"
"AMCN","AirMedia Group Inc","88343457.93","Technology","Advertising"
"AIXG","Aixtron SE","124443449.1","Technology","Industrial Machinery/Components"
"AKAM","Akamai Technologies, Inc.","6448636968.56","Miscellaneous","Business Services"
"AKRX","Akorn, Inc.","1189649208.6","Consumer Durables","Major Pharmaceuticals"
"ALSK","Alaska Communications Systems Group, Inc.","105476178.334","Public Utilities","Telecommunications Equipment"
"AMRI","Albany Molecular Research, Inc.","106240541.8416","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"ALCS","ALCO Stores, Inc.","31298634.675","Consumer Services","Department/Specialty Retail Stores"
"ALXN","Alexion Pharmaceuticals, Inc.","20777059300.44","Consumer Durables","Major Pharmaceuticals"
"ALXA","Alexza Pharmaceuticals, Inc.","76464817.31","Consumer Durables","Major Pharmaceuticals"
"ALCO","Alico, Inc.","230921157.8","Consumer Non-Durables","Farming/Seeds/Milling"
"ALGN","Align Technology, Inc.","2251842957.44","Health Care","Industrial Specialties"
"ALIM","Alimera Sciences, Inc.","84867601.5","Consumer Durables","Major Pharmaceuticals"
"ALKS","Alkermes plc","2454911875.92","Consumer Durables","Major Pharmaceuticals"
"ALGT","Allegiant Travel Company","1322746868.43","Transportation","Air Freight/Delivery Services"
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","67844688.17","Finance","Savings Institutions"
"ABVA","Alliance Bankshares Corporation","22994860.5","Finance","Major Banks"
"AFOP","Alliance Fiber Optic Products, Inc.","84527356.8","Technology","Semiconductors"
"ALNC","Alliance Financial Corporation","210693877.92","Finance","Major Banks"
"AHGP","Alliance Holdings GP, L.P.","2972197950","Energy","Coal Mining"
"ARLP","Alliance Resource Partners, L.P.","2331234275.78","Energy","Coal Mining"
"AHPI","Allied Healthcare Products, Inc.","22667036.94","Health Care","Industrial Specialties"
"AMOT","Allied Motion Technologies, Inc.","57072391.2","Capital Goods","Electrical Products"
"ALLT","Allot Communications Ltd.","787109197","Technology","Computer Communications Equipment"
"MDRX","Allscripts Healthcare Solutions, Inc.","2327422355.3","Technology","EDP Services"
"AFAM","Almost Family Inc","194099726.469","Health Care","Medical/Nursing Services"
"ALNY","Alnylam Pharmaceuticals, Inc.","904882482.04","Consumer Durables","Major Pharmaceuticals"
"AOSL","Alpha and Omega Semiconductor Limited","190894338.7","Technology","Semiconductors"
"ATEC","Alphatec Holdings, Inc.","157331291.25","Health Care","Medical/Dental Instruments"
"ALTI","Altair Nanotechnologies Inc.","40331988.38","Basic Industries","Major Chemicals"
"ALTR","Altera Corporation","10400592047.8","Technology","Semiconductors"
"ALTE","Alterra Capital Holdings Limited","2341528998.26","Finance","Property-Casualty Insurers"
"ASPS","Altisource Portfolio Solutions S.A.","2614073470","Consumer Services","Other Consumer Services"
"APSA","Alto Palermo S.A.","32835779.9253","Consumer Services","Building operators"
"AIMC","Altra Holdings, Inc.","453329227.89","Capital Goods","Industrial Machinery/Components"
"ALVR","Alvarion Ltd.","27789755.8455","Public Utilities","Telecommunications Equipment"
"AMAG","AMAG Pharmaceuticals, Inc.","353365905.76","Consumer Durables","Major Pharmaceuticals"
"AMRN","Amarin Corporation PLC","1563821375.18","Consumer Durables","Major Pharmaceuticals"
"AMZN","Amazon.com, Inc.","108495661440","Consumer Services","Catalog/Specialty Distribution"
