"symbol","name","market_cap","sector","industry","exchange"
"ABVA","Alliance Bankshares Corporation","22994860.5","Finance","Major Banks","nasdaq"
"ACOM","Ancestry.com Inc.","1254787154.88","Technology","EDP Services","nasdaq"
"ACST","Acasti Pharma, Inc.","197609727.6","Health Care","Major Pharmaceuticals","nasdaq"
"ADHD","Alcobra Ltd.","0","Health Care","Major Pharmaceuticals","nasdaq"
"AFH","Atlas Financial Holdings, Inc.","56961465","Finance","Property-Casualty Insurers","nasdaq"
"AIQ","Alliance HealthCare Services, Inc.","169097907.64","Health Care","Medical Specialities","nasdaq"
"ALNC","Alliance Financial Corporation","210693877.92","Finance","Major Banks","nasdaq"
"ALRN","American Learning Corporation","3062460.3375","Health Care","Medical/Nursing Services","nasdaq"
"ALTE","Alterra Capital Holdings Limited","2341528998.26","Finance","Property-Casualty Insurers","nasdaq"
"AMBC","Ambac Financial Group, Inc.","0","Finance","Property-Casualty Insurers","nasdaq"
"AMBCW","Ambac Financial Group, Inc.","0","Finance","Property-Casualty Insurers","nasdaq"
"AMBI","Ambit Biosciences Corporation","125050659.48","Health Care","Major Pharmaceuticals","nasdaq"
"AMPL","Ampal-American Israel Corporation","4125831.36","Finance","Finance/Investors Services","nasdaq"
"ANNB","Annapolis Bancorp Inc.","32200156.8","Finance","Major Banks","nasdaq"
"AONE","A123 Systems, Inc.","38766725.335","Energy","Industrial Machinery/Components","nasdaq"
"APKT","Acme Packet, Inc.","1116687751.44","Technology","Computer Communications Equipment","nasdaq"
"AQU","Aquasition Corp.","65877500","Finance","Business Services","nasdaq"
"AQUUU","Aquasition Corp.","66734566.275","Finance","Business Services","nasdaq"
"AQUUW","Aquasition Corp.","0","Finance","Business Services","nasdaq"
"ARCT","American Realty Capital Trust, Inc.","1863709265.04","Finance","Real Estate","nasdaq"
"ASDR","ALPS ETF Trust VelocityShares Emerging Asia DR ETF","5327840.16","n/a","n/a","nasdaq"
"ATLC","Atlanticus Holdings Corporation","49592704.6","Finance","Finance: Consumer Services","nasdaq"
"AVCA","Advocat, Inc.","31710690.55","Health Care","Hospital/Nursing Management","nasdaq"
"AXDX","Accelerate Diagnostics, Inc.","327828243.96","Capital Goods","Biotechnology: Laboratory Analytical Instruments","nasdaq"
"BAGR","Diversified Restaurant Holdings, Inc.","187916556.25","Consumer Services","Restaurants","nasdaq"
"BAXS","Baxano Surgical, Inc.","57205535.79","n/a","n/a","nasdaq"
"BBRY","Research In Motion Limited","7095551808.228","Public Utilities","Telecommunications Equipment","nasdaq"
"BCDS","BCD Semiconductor Manufacturing Limited","50600793.54","Technology","Semiconductors","nasdaq"
"BDBD","Boulder Brands, Inc.","628960059.91","Consumer Non-Durables","Packaged Foods","nasdaq"
"BFED","Beacon Federal Bancorp, Inc.","129289276","Finance","Savings Institutions","nasdaq"
"BFLY","Bluefly, Inc.","30814160.7196","Consumer Services","Catalog/Specialty Distribution","nasdaq"
"BHLB","Berkshire Hills Bancorp, Inc.","515228036","Finance","Banks","nasdaq"
"BIDZ","Bidz.com, Inc.","11345995.04","Miscellaneous","Business Services","nasdaq"
"BIOC","BioClinica, Inc","98209458.9","Health Care","Precision Instruments","nasdaq"
"BLIN","Bridgeline Digital, Inc.","23565483.9","Technology","Computer Software: Prepackaged Software","nasdaq"
"BLIN          ","Bridgeline Digital, Inc.","15639627.36","Technology","Computer Software: Prepackaged Software","nasdaq"
"BMTI","BioMimetic Therapeutics, Inc.","113148136.93","Health Care","Medical/Dental Instruments","nasdaq"
"BNDX","Vanguard Charlotte Funds Vanguard Total International Bond ETF","0","n/a","n/a","nasdaq"
"BOTA","Biota Pharmaceuticals, Inc.","102042124.1","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","nasdaq"
"BOVA","Bank Of Virginia","11795299.614","n/a","n/a","nasdaq"
"BPFHP","Boston Private Financial Holdings, Inc.","0","Finance","Major Banks","nasdaq"
"BTFG","BancTrust Financial Group, Inc.","51386729.68","Finance","Major Banks","nasdaq"
