"DDD","3D Systems Corporation","2006690212.84","Technology","Computer Software: Prepackaged Software","nyse"
"MMM","3M Company","64251230891.22","Health Care","Medical/Dental Instruments","nyse"
"SVN","7 Days Group Holdings Limited","600227505.11","Consumer Services","Hotels/Resorts","nyse"
"AHC","A.H. Belo Corporation","111325108.05","Consumer Services","Newspapers/Magazines","nyse"
"AIR","AAR Corp.","653422113.72","Capital Goods","Aerospace","nyse"
"AAN","Aaron&#39;s,  Inc.","2084594160","Technology","Diversified Commercial Services","nyse"
"ABB","ABB Ltd","44308159965.72","Consumer Durables","Electrical Products","nyse"
"ABT","Abbott Laboratories","103811426173.35","Consumer Durables","Major Pharmaceuticals","nyse"
"ANF","Abercrombie & Fitch Company","2643154207.65","Consumer Services","Clothing/Shoe/Accessory Stores","nyse"
"ABM","ABM Industries Incorporated","1001603239.38","Finance","Diversified Commercial Services","nyse"
"AKR","Acadia Realty Trust","1177292963.76","Consumer Services","Real Estate Investment Trusts","nyse"
"ACN","Accenture plc.","46056386179.5","Miscellaneous","Business Services","nyse"
"ACMP","Access Midstream Partmers, L.P.","5242110766.2","Public Utilities","Natural Gas Distribution","nyse"
"ACCO","Acco Brands Corporation","717042518.26","Consumer Durables","Publishing","nyse"
"AH","Accretive Health, Inc.","1197874666.3","Consumer Services","Other Consumer Services","nyse"
"ACW","Accuride Corporation New","135521998.04","Capital Goods","Auto Parts:O.E.M.","nyse"
"ACE","Ace Limited","27303715780.44","Finance","Property-Casualty Insurers","nyse"
"ATV","Acorn International, Inc.","79745720.04","Consumer Services","Other Specialty Stores","nyse"
"ATU","Actuant Corporation","2068950366","Technology","Industrial Machinery/Components","nyse"
"AYI","Acuity Brands Inc","2683269959.04","Consumer Durables","Building Products","nyse"
"ADX","Adams Express Company (The)","1026768203.86","n/a","n/a","nyse"
"AGRO","Adecoagro S.A.","1110759920","Consumer Non-Durables","Farming/Seeds/Milling","nyse"
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","2413089309.5","Finance","Property-Casualty Insurers","nyse"
"ADT","ADT Corporation","8921594400","Consumer Services","Diversified Commercial Services","nyse"
"AAP","Advance Auto Parts Inc","5017806709.98","Consumer Services","Other Specialty Stores","nyse"
"AMD","Advanced Micro Devices, Inc.","1542470131.08","Technology","Semiconductors","nyse"
"ASX","Advanced Semiconductor Engineering, Inc.","5404303112.32","Technology","Semiconductors","nyse"
"AAV","Advantage Oil & Gas Ltd","665112210.1","Energy","Oil & Gas Production","nyse"
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","2115643549.8","Technology","Semiconductors","nyse"
"AVK","Advent Claymore Convertible Securities and Income Fund","401110717.77","n/a","n/a","nyse"
"AGC","Advent Claymore Convertible Securities and Income Fund II","213755973.6","n/a","n/a","nyse"
"LCM","Advent/Claymore Enhanced Growth & Income Fund","129908888.75","n/a","n/a","nyse"
"ACM","Aecom Technology Corporation","2413061046","Consumer Services","Military/Government/Technical","nyse"
"ANW","Aegean Marine Petroleum Network Inc.","277648978.04","Energy","Oil Refining/Marketing","nyse"
"AEB","Aegon NV","0","Finance","Life Insurance","nyse"
"AED","Aegon NV","0","Finance","Life Insurance","nyse"
"AEF","Aegon NV","0","Finance","Life Insurance","nyse"
"AEG","Aegon NV","10713159226.11","Finance","Life Insurance","nyse"
"AEH","Aegon NV","0","Finance","Life Insurance","nyse"
"AEK","Aegon NV","0","Finance","Life Insurance","nyse"
"AEV","Aegon NV","0","Finance","Life Insurance","nyse"
"AER","Aercap Holdings N.V.","1889282513.16","Technology","Diversified Commercial Services","nyse"
"ARX","Aeroflex Holding Corp.","489595278.36","Technology","Semiconductors","nyse"
"ARO","Aeropostale Inc","1071909606.41","Consumer Services","Clothing/Shoe/Accessory Stores","nyse"
"AET","Aetna Inc.","14556469746.56","Health Care","Medical Specialities","nyse"
"AFM","Affiliated Managers Group, Inc.","0","n/a","n/a","nyse"
"AMG","Affiliated Managers Group, Inc.","6389761048.32","Finance","Investment Managers","nyse"
"MGR","Affiliated Managers Group, Inc.","0","Finance","Investment Managers","nyse"
"AFL","Aflac Incorporated","23268417245.01","Finance","Accident &Health Insurance","nyse"
"AFSD","Aflac Incorporated","0","Finance","Accident &Health Insurance","nyse"
"MITT","AG Mortgage Investment Trust, Inc.","375422377.5","n/a","n/a","nyse"
"MITT^A","AG Mortgage Investment Trust, Inc.","0","n/a","n/a","nyse"
"MITT^B","AG Mortgage Investment Trust, Inc.","0","n/a","n/a","nyse"
"AGCO","AGCO Corporation","4693864834.72","Capital Goods","Industrial Machinery/Components","nyse"
"NCV","AGIC Convertible & Income Fund","697202070.24","n/a","n/a","nyse"
"NCZ","AGIC Convertible & Income Fund II","537737652.96","n/a","n/a","nyse"
"NIE","AGIC Equity & Convertible Income Fund","390323307.5","n/a","n/a","nyse"
"NGZ","AGIC Global Equity & Convertible Income Fund","93645772.82","n/a","n/a","nyse"
"NAI","AGIC International & Premium Strategy Fund","98104756.54","n/a","n/a","nyse"
"A","Agilent Technologies, Inc.","12456842255","Capital Goods","Electrical Products","nyse"
"GAS","AGL Resources, Inc.","4787601799.26","Public Utilities","Oil/Gas Transmission","nyse"
"AEM","Agnico-Eagle Mines Limited","9043722943.97","Basic Industries","Precious Metals","nyse"
"ADC","Agree Realty Corporation","295621737.4","Consumer Services","Real Estate Investment Trusts","nyse"
